final
X	Y
9.9825 4.38358330209e-10
9.9975 3.85108224306e-10
10.0125 3.38195001183e-10
10.0275 2.96881021054e-10
10.0425 2.60512487329e-10
10.0575 2.28510160172e-10
10.0725 2.00361069854e-10
10.0875 1.7561112559e-10
10.1025 1.53858526058e-10
10.1175 1.34747887279e-10
10.1325 1.17965012118e-10
10.1475 1.03232233372e-10
10.1625 9.03042694145e-11
10.1775 7.89645376305e-11
10.1925 6.90218765273e-11
10.2075 6.03076325321e-11
10.2225 5.26730720484e-11
10.2375 4.59870834835e-11
10.2525 4.0134137664e-11
10.2675 3.50124783896e-11
10.2825 3.05325178728e-11
10.2975 2.66154144932e-11
10.3125 2.31918127134e-11
10.3275 2.02007271595e-11
10.3425 1.75885548103e-11
10.3575 1.53082009761e-11
10.3725 1.33183062985e-11
10.3875 1.15825633997e-11
10.4025 1.00691130479e-11
10.4175 8.75001082263e-12
10.4325 7.60075625604e-12
10.4475 6.59987731452e-12
10.4625 5.7285638773e-12
10.4775 4.97034457671e-12
10.4925 4.31080199506e-12
10.5075 3.73732177567e-12
10.5225 3.23887170627e-12
10.5375 2.80580727935e-12
10.5525 2.42970063113e-12
10.5675 2.10319011383e-12
10.5825 1.81984807034e-12
10.5975 1.57406465948e-12
10.6125 1.36094582788e-12
10.6275 1.17622374505e-12
10.6425 1.01617821332e-12
10.6575 8.77567737979e-13
10.6725 7.57569096298e-13
10.6875 6.53724380791e-13
10.7025 5.63894612261e-13
10.7175 4.86219125304e-13
10.7325 4.1908002334e-13
10.7475 3.61071083866e-13
10.7625 3.1097056856e-13
10.7775 2.67717458134e-13
10.7925 2.30390689577e-13
10.8075 1.98191024299e-13
10.8225 1.70425220654e-13
10.8375 1.46492223949e-13
10.8525 1.25871121964e-13
10.8675 1.08110644805e-13
10.8825 9.28200150288e-14
10.8975 7.96609778272e-14
10.9125 6.83408620643e-14
10.9275 5.86065414365e-14
10.9425 5.0239181245e-14
10.9575 4.30496705433e-14
10.9725 3.6874651944e-14
10.9875 3.15730723701e-14
11.0025 2.70231876782e-14
11.0175 2.31199625469e-14
11.0325 1.97728144385e-14
11.0475 1.69036569396e-14
11.0625 1.44452034806e-14
11.0775 1.23394974116e-14
11.0925 1.0536638775e-14
11.1075 8.99368192415e-15
11.1225 7.6736814713e-15
11.1375 6.54486695887e-15
11.1525 5.57992919075e-15
11.1675 4.75540338009e-15
11.1825 4.05113620662e-15
11.1975 3.44982556547e-15
11.2125 2.93662326174e-15
11.2275 2.49879218814e-15
11.2425 2.12541063998e-15
11.2575 1.8071173948e-15
11.2725 1.53589202977e-15
11.2875 1.3048656865e-15
11.3025 1.10815813237e-15
11.3175 9.40737523742e-16
11.3325 7.98299759208e-16
11.3475 6.77164730278e-16
11.3625 5.74187140683e-16
11.3775 4.86679881026e-16
11.3925 4.12348219016e-16
11.4075 3.49233302595e-16
11.4225 2.95663678577e-16
11.4375 2.50213707169e-16
11.4525 2.11667906605e-16
11.4675 1.78990395151e-16
11.4825 1.51298712807e-16
11.4975 1.27841404457e-16
11.5125 1.07978832088e-16
11.5275 9.11667578758e-17
11.5425 7.69423039063e-17
11.5575 6.49119495491e-17
11.5725 5.47412750649e-17
11.5875 4.61462010892e-17
11.6025 3.88855089655e-17
11.6175 3.27544573456e-17
11.6325 2.7579336671e-17
11.6475 2.32128256892e-17
11.6625 1.95300335411e-17
11.6775 1.64251276183e-17
11.6925 1.38084617009e-17
11.7075 1.16041311832e-17
11.7225 9.74789274531e-18
11.7375 8.18539488421e-18
11.7525 6.87067348444e-18
11.7675 5.76487326474e-18
11.7825 4.83516164295e-18
11.7975 4.05380644682e-18
11.8125 3.39739308211e-18
11.8275 2.84616034882e-18
11.8425 2.38343715857e-18
11.8575 1.99516502426e-18
11.8725 1.66949343029e-18
11.8875 1.39643710327e-18
11.9025 1.16758583468e-18
11.9175 9.75858900241e-19
11.9325 8.15297308643e-19
11.9475 6.80888125743e-19
11.9625 5.68415983925e-19
11.9775 4.74337622147e-19
11.9925 3.95675928835e-19
12.0075 3.29930493163e-19
12.0225 2.7500212413e-19
12.0375 2.29129182812e-19
12.0525 1.9083390133e-19
12.0675 1.58877140872e-19
12.0825 1.32220277953e-19
12.0975 1.09993109151e-19
12.1125 9.14668351945e-20
12.1275 7.60313299902e-20
12.1425 6.31760229186e-20
12.1575 5.24738267168e-20
12.1725 4.3567631373e-20
12.1875 3.61589590661e-20
12.2025 2.99984383264e-20
12.2175 2.48778090161e-20
12.2325 2.06232149085e-20
12.2475 1.70895788293e-20
12.2625 1.4155887594e-20
12.2775 1.17212412216e-20
12.2925 9.70154391464e-21
12.3075 8.02673370317e-21
12.3225 6.63846402623e-21
12.3375 5.48816432801e-21
12.3525 4.53541837853e-21
12.3675 3.74660882832e-21
12.3825 3.0937847576e-21
12.3975 2.55371592465e-21
12.4125 2.10710326001e-21
12.4275 1.73792006592e-21
12.4425 1.43286250924e-21
12.4575 1.18089146585e-21
12.4725 9.72850687631e-22
12.4875 8.0114870905e-22
12.5025 6.59493962747e-22
12.5175 5.42674294503e-22
12.5325 4.46373511218e-22
12.5475 3.67018804715e-22
12.5625 3.01653907136e-22
12.5775 2.47833681843e-22
12.5925 2.03536563525e-22
12.6075 1.67091855014e-22
12.6225 1.37119384888e-22
12.6375 1.12479444916e-22
12.6525 9.22312732021e-23
12.6675 7.55986384424e-23
12.6825 6.19413224427e-23
12.6975 5.07314997679e-23
12.7125 4.15341816106e-23
12.7275 3.39910312323e-23
12.7425 2.78069752076e-23
12.7575 2.27391320637e-23
12.7725 1.85876609705e-23
12.7875 1.51882006034e-23
12.8025 1.24056244314e-23
